actor,in_path,out_path,emotion,emotion_code,orig_sr,target_sr,dur_before_sec,dur_after_sec,peak_before,peak_after,trimmed,normalized_to_dbfs,error
Actor_01,/Users/nishchalpokhrel/Documents/project/thesis_code/data/raw/RAVDESS/Actor_01/03-01-01-01-01-01-01.wav,/Users/nishchalpokhrel/Documents/project/thesis_code/data/processed/neutral/Actor_01/03-01-01-01-01-01-01.wav,neutral,01,48000,16000,3.3032916666666665,1.1946875,0.04058837890625,0.7079457640647888,True,-3.0,
Actor_01,/Users/nishchalpokhrel/Documents/project/thesis_code/data/raw/RAVDESS/Actor_01/03-01-01-01-01-02-01.wav,/Users/nishchalpokhrel/Documents/project/thesis_code/data/processed/neutral/Actor_01/03-01-01-01-01-02-01.wav,neutral,01,48000,16000,3.3366666666666664,1.216,0.04815673828125,0.7079457640647888,True,-3.0,
Actor_01,/Users/nishchalpokhrel/Documents/project/thesis_code/data/raw/RAVDESS/Actor_01/03-01-01-01-02-01-01.wav,/Users/nishchalpokhrel/Documents/project/thesis_code/data/processed/neutral/Actor_01/03-01-01-01-02-01-01.wav,neutral,01,48000,16000,3.2699166666666666,1.205375,0.0584716796875,0.7079457640647888,True,-3.0,
Actor_01,/Users/nishchalpokhrel/Documents/project/thesis_code/data/raw/RAVDESS/Actor_01/03-01-01-01-02-02-01.wav,/Users/nishchalpokhrel/Documents/project/thesis_code/data/processed/neutral/Actor_01/03-01-01-01-02-02-01.wav,neutral,01,48000,16000,3.1698333333333335,1.1626875,0.06268310546875,0.7079457640647888,True,-3.0,
Actor_01,/Users/nishchalpokhrel/Documents/project/thesis_code/data/raw/RAVDESS/Actor_01/03-01-03-01-01-01-01.wav,/Users/nishchalpokhrel/Documents/project/thesis_code/data/processed/happy/Actor_01/03-01-03-01-01-01-01.wav,happy,03,48000,16000,3.4701458333333335,1.3866875,0.058502197265625,0.7079457640647888,True,-3.0,
Actor_01,/Users/nishchalpokhrel/Documents/project/thesis_code/data/raw/RAVDESS/Actor_01/03-01-03-01-01-02-01.wav,/Users/nishchalpokhrel/Documents/project/thesis_code/data/processed/happy/Actor_01/03-01-03-01-01-02-01.wav,happy,03,48000,16000,3.470125,1.653375,0.074981689453125,0.7079457640647888,True,-3.0,
Actor_01,/Users/nishchalpokhrel/Documents/project/thesis_code/data/raw/RAVDESS/Actor_01/03-01-03-01-02-01-01.wav,/Users/nishchalpokhrel/Documents/project/thesis_code/data/processed/happy/Actor_01/03-01-03-01-02-01-01.wav,happy,03,48000,16000,3.5368541666666666,1.408,0.050018310546875,0.7079457640647888,True,-3.0,
Actor_01,/Users/nishchalpokhrel/Documents/project/thesis_code/data/raw/RAVDESS/Actor_01/03-01-03-01-02-02-01.wav,/Users/nishchalpokhrel/Documents/project/thesis_code/data/processed/happy/Actor_01/03-01-03-01-02-02-01.wav,happy,03,48000,16000,3.703708333333333,1.653375,0.044677734375,0.7079457640647888,True,-3.0,
Actor_01,/Users/nishchalpokhrel/Documents/project/thesis_code/data/raw/RAVDESS/Actor_01/03-01-03-02-01-01-01.wav,/Users/nishchalpokhrel/Documents/project/thesis_code/data/processed/happy/Actor_01/03-01-03-02-01-01-01.wav,happy,03,48000,16000,3.6703333333333332,1.4826875,0.126953125,0.7079458236694336,True,-3.0,
Actor_01,/Users/nishchalpokhrel/Documents/project/thesis_code/data/raw/RAVDESS/Actor_01/03-01-03-02-01-02-01.wav,/Users/nishchalpokhrel/Documents/project/thesis_code/data/processed/happy/Actor_01/03-01-03-02-01-02-01.wav,happy,03,48000,16000,3.6369583333333333,1.472,0.16583251953125,0.7079457640647888,True,-3.0,
